race;uf;mobile;internet
white;Rondônia; 77,6 ; 68,9 
white;Acre; 73,4 ; 66,8 
white;Amazonas; 74,2 ; 70,7 
white;Roraima; 79,2 ; 80,2 
white;Pará; 70,7 ; 65,5 
white;Amapá; 75,7 ; 72,4 
white;Tocantins; 80,5 ; 66,5 
white;Maranhão; 65,2 ; 56,2 
white;Piauí; 75,7 ; 63,8 
white;Ceará; 75,2 ; 66,1 
white;Rio Grande do Norte; 79,8 ; 70,1 
white;Paraíba; 74,1 ; 64,0 
white;Pernambuco; 77,9 ; 67,0 
white;Alagoas; 73,3 ; 58,0 
white;Sergipe; 76,4 ; 68,5 
white;Bahia; 73,5 ; 64,9 
white;Minas Gerais; 82,8 ; 72,7 
white;Espírito Santo; 82,8 ; 71,6 
white;Rio de Janeiro; 85,4 ; 80,5 
white;São Paulo; 85,0 ; 81,3 
white;Paraná; 83,5 ; 74,4 
white;Santa Catarina; 83,2 ; 76,7 
white;Rio Grande do Sul; 86,2 ; 73,0 
white;Mato Grosso do Sul; 87,4 ; 77,5 
white;Mato Grosso; 86,0 ; 77,2 
white;Goiás; 87,7 ; 76,8 
white;Distrito Federal; 90,7 ; 87,4 
black;Rondônia; 74,8 ; 65,3 
black;Acre; 64,8 ; 55,1 
black;Amazonas; 63,7 ; 57,9 
black;Roraima; 72,2 ; 70,9 
black;Pará; 60,6 ; 55,7 
black;Amapá; 69,6 ; 69,8 
black;Tocantins; 74,6 ; 60,6 
black;Maranhão; 56,6 ; 46,2 
black;Piauí; 66,1 ; 51,9 
black;Ceará; 68,3 ; 57,0 
black;Rio Grande do Norte; 73,9 ; 62,8 
black;Paraíba; 71,3 ; 57,6 
black;Pernambuco; 70,6 ; 56,7 
black;Alagoas; 66,9 ; 51,2 
black;Sergipe; 71,9 ; 63,4 
black;Bahia; 70,9 ; 59,8 
black;Minas Gerais; 79,1 ; 67,8 
black;Espírito Santo; 80,7 ; 71,7 
black;Rio de Janeiro; 80,1 ; 75,7 
black;São Paulo; 82,3 ; 77,1 
black;Paraná; 80,1 ; 69,2 
black;Santa Catarina; 80,6 ; 74,3 
black;Rio Grande do Sul; 81,4 ; 66,8 
black;Mato Grosso do Sul; 82,9 ; 72,9 
black;Mato Grosso; 81,0 ; 70,6 
black;Goiás; 85,3 ; 74,5 
black;Distrito Federal; 87,7 ; 84,0 
